Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1547460000.0 129.0 67 111 272 NA NA NA 130 582 410 NA NA NA 1250 503 1987 NA NA NA 1749 530 2162 NA NA NA
1547460000.0 130.0 69 90 269 NA NA NA 144 538 420 NA NA NA 1515 924 3248 NA NA NA 1039 753 3970 NA NA NA
1547460000.0 1301.17 76 157 236 NA NA NA 142 588 417 NA NA NA 2704 927 2155 NA NA NA 2732 889 3505 NA NA NA
1547460000.0 1308.0 NA 127 194 56 0 NA NA 555 281 95 0 NA NA 528 523 179 320 NA NA 445 546 432 380 NA
1547460000.0 1310.0 NA 139 339 0 NA NA NA 608 470 0 NA NA NA 862 3736 1370 NA NA NA 719 4714 1590 NA NA
1547460000.0 1313.0 NA 142 335 0 NA NA NA 607 488 0 NA NA NA 648 4715 1425 NA NA NA 690 6218 1878 NA NA
1547460000.0 1321.0 NA 134 334 0 NA NA NA 607 486 0 NA NA NA 823 3294 1216 NA NA NA 1240 4213 1323 NA NA
1547460000.0 1323.0 NA 132 326 0 NA NA NA 562 446 0 NA NA NA 696 3295 1375 NA NA NA 692 5447 1726 NA NA
1547460000.0 1325.0 NA 141 340 0 81 NA NA 562 482 0 128 NA NA 1167 3986 1439 516 NA NA 702 4712 2110 749 NA
1547460000.0 1325.4 NA 143 346 0 NA NA NA 562 499 0 NA NA NA 1116 3858 1405 NA NA NA 1216 4232 1589 NA NA
1547460000.0 1325.5 NA 177 0 NA NA NA NA 279 0 NA NA NA NA 5697 201 NA NA NA NA 8035 709 NA NA NA
1547460000.0 1325.51 NA 160 0 NA NA NA NA 253 0 NA NA NA NA 1840 139 NA NA NA NA 2391 206 NA NA NA
1547460000.0 1325.6 NA 197 NA NA NA NA NA 309 NA NA NA NA NA 7270 NA NA NA NA NA 7332 NA NA NA NA
1547460000.0 1325.7 NA 191 0 NA NA NA NA 310 0 NA NA NA NA 6143 201 NA NA NA NA 8132 595 NA NA NA
1547460000.0 1325.8 NA 197 0 NA NA NA NA 316 0 NA NA NA NA 7054 229 NA NA NA NA 6113 986 NA NA NA
1547460000.0 1329.1 NA 194 0 NA NA NA NA 292 0 NA NA NA NA 6998 195 NA NA NA NA 8273 689 NA NA NA
1547460000.0 133.0 102 108 286 NA NA NA 211 494 419 NA NA NA 7752 928 3710 NA NA NA 3862 851 4419 NA NA NA
1547460000.0 1334.0 NA 139 341 0 NA NA NA 562 508 0 NA NA NA 997 3291 1251 NA NA NA 1829 5466 1559 NA NA
1547460000.0 1336.0 NA 141 345 0 NA NA NA 518 474 0 NA NA NA 1237 4593 1430 NA NA NA 1321 4988 1694 NA NA
1547460000.0 1337.0 NA 145 351 0 NA NA NA 607 488 0 NA NA NA 846 4625 1536 NA NA NA 786 5671 1998 NA NA
1547460000.0 134.0 NA 304 40 0 NA NA NA 444 89 0 NA NA NA 5313 201 117 NA NA NA 5664 533 268 NA NA
1547460000.0 134.701 NA 40 333 0 NA NA NA 102 461 0 NA NA NA 301 7474 845 NA NA NA 417 4733 937 NA NA
1547460000.0 134.709 NA 42 483 0 NA NA NA 108 712 0 NA NA NA 325 10261 1082 NA NA NA 354 6389 1184 NA NA
1547460000.0 134.71 NA 36 315 0 NA NA NA 101 452 0 NA NA NA 298 7227 1298 NA NA NA 367 6572 1748 NA NA
1547460000.0 134.806 NA 43 339 0 NA NA NA 102 472 0 NA NA NA 319 12672 1256 NA NA NA 374 7167 1694 NA NA
1547460000.0 134.813 NA 177 59 0 NA NA NA 278 112 0 NA NA NA 831 209 384 NA NA NA 644 568 535 NA NA
1547460000.0 134.901 NA 39 318 0 NA NA NA 102 463 0 NA NA NA 313 7707 1179 NA NA NA 338 6047 1278 NA NA
1547460000.0 134.902 NA 43 325 0 NA NA NA 106 474 0 NA NA NA 314 6194 774 NA NA NA 376 4588 1230 NA NA
1547460000.0 134.908 NA 143 375 0 NA NA NA 230 507 0 NA NA NA 1101 9088 1039 NA NA NA 829 5093 1116 NA NA
