Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1547334000.0 135.3 282 0 110 NA NA 519 0 179 NA NA 1086 259 608 NA NA 2160 425 801 NA NA
1547334000.0 135.4 354 0 101 NA NA 519 0 184 NA NA 1332 298 789 NA NA 1934 489 1678 NA NA
1547334000.0 135.5 360 0 110 NA NA 519 0 181 NA NA 1144 247 571 NA NA 1464 363 706 NA NA
1547334000.0 135.6 363 0 110 NA NA 504 0 186 NA NA 1195 251 613 NA NA 1665 508 859 NA NA
1547334000.0 135.7 365 0 112 NA NA 525 0 182 NA NA 1061 265 655 NA NA 1131 749 1678 NA NA
1547334000.0 135.8 143 NA NA NA NA 234 NA NA NA NA 692 NA NA NA NA 1626 NA NA NA NA
1547334000.0 135.9 335 0 109 NA NA 511 0 181 NA NA 1206 288 752 NA NA 2053 502 1893 NA NA
1547334000.0 1355.0 NA 111 536 0 NA NA 385 645 0 NA NA 673 2079 725 NA NA 1160 3076 1296 NA
1547334000.0 1356.0 89 110 397 0 120 157 370 674 0 188 2975 645 1899 630 569 2218 1031 3823 1224 691
1547334000.0 136.722 NA 79 508 0 NA NA 142 649 0 NA NA 690 7849 825 NA NA 856 3708 986 NA
1547334000.0 136.724 NA 84 516 0 NA NA 142 654 0 NA NA 761 8822 801 NA NA 1239 4247 979 NA
1547334000.0 136.727 NA 142 523 0 NA NA 246 673 0 NA NA 2035 8214 817 NA NA 2525 3830 1013 NA
1547334000.0 136.733 NA 193 69 0 NA NA 285 118 0 NA NA 1635 507 373 NA NA 2619 760 613 NA
1547334000.0 136.739 NA 75 531 0 NA NA 132 688 0 NA NA 851 15571 873 NA NA 924 9330 1042 NA
1547334000.0 136.751 NA 77 543 0 NA NA 144 736 0 NA NA 816 16929 865 NA NA 902 7968 927 NA
1547334000.0 136.755 NA 84 545 0 NA NA 137 713 0 NA NA 851 18238 1074 NA NA 1134 8918 1237 NA
