Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1547334000.0 536.0 42 0 NA NA NA NA 104 0 NA NA NA NA 340 137 NA NA NA NA 412 315 NA NA NA NA
1547334000.0 541.0 44 0 NA NA NA NA 98 0 NA NA NA NA 217 145 NA NA NA NA 604 279 NA NA NA NA
1547334000.0 545.0 44 0 NA NA NA NA 94 0 NA NA NA NA 231 146 NA NA NA NA 459 377 NA NA NA NA
1547334000.0 551.0 14 40 0 NA NA NA 59 86 0 NA NA NA 950 186 119 NA NA NA 2567 1059 345 NA NA NA
1547334000.0 552.0 13 39 0 NA NA NA 59 92 0 NA NA NA 857 157 110 NA NA NA 1651 499 355 NA NA NA
1547334000.0 554.0 15 37 0 NA NA NA 59 91 0 NA NA NA 1487 154 108 NA NA NA 2103 467 176 NA NA NA
1547334000.0 555.0 15 35 0 NA NA NA 59 87 0 NA NA NA 1690 279 189 NA NA NA 6370 732 650 NA NA NA
1547334000.0 556.0 14 38 0 NA NA NA 59 93 0 NA NA NA 340 194 140 NA NA NA 773 623 422 NA NA NA
1547334000.0 560.0 39 0 NA NA NA NA 87 0 NA NA NA NA 181 128 NA NA NA NA 290 249 NA NA NA NA
1547334000.0 561.0 33 0 NA NA NA NA 83 0 NA NA NA NA 184 166 NA NA NA NA 244 759 NA NA NA NA
1547334000.0 562.0 13 35 0 NA NA NA 59 88 0 NA NA NA 351 186 132 NA NA NA 988 401 294 NA NA NA
1547334000.0 8.0 NA 107 163 40 0 NA NA 592 247 93 0 NA NA 1629 642 149 285 NA NA 835 909 234 481 NA
