Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1546639200.0 110.0 251 298 620 NA NA NA 2097280 2097280 2097430 NA NA NA 2626 1543 3175 NA NA NA 1246 1233 3062 NA NA NA
1546639200.0 1102.0 NA 342 351 406 220 NA NA 2097310 2097470 2097340 2097240 NA NA 7173 25266 6520 565 NA NA 2732 35705 2820 427 NA
1546639200.0 11024.0 NA 617 1208 0 421 NA NA 2097500 2097600 0 2097350 NA NA 29770 21920 7011 1669 NA NA 37953 8808 7152 1725 NA
1546639200.0 11024.2 NA 719 1201 0 422 NA NA 2097500 2097610 0 2097350 NA NA 23630 22251 8017 1888 NA NA 16197 9019 9026 1964 NA
1546639200.0 11024.3 NA 1043 1199 0 413 NA NA 2097500 2097620 0 2097350 NA NA 18334 19539 6159 1473 NA NA 12831 21701 7373 1435 NA
1546639200.0 11024.6 NA 853 1228 0 412 NA NA 2097500 2097600 0 2097350 NA NA 19172 20628 6717 1709 NA NA 12381 8175 6881 1755 NA
1546639200.0 11025.0 NA 764 1199 0 419 NA NA 2097500 2097600 0 2097350 NA NA 22709 22014 8129 2421 NA NA 12116 9000 8523 2430 NA
1546639200.0 111.0 262 295 615 NA NA NA 2097330 2097280 2097430 NA NA NA 5899 1444 3737 NA NA NA 2782 4031 3451 NA NA NA
1546639200.0 112.0 262 313 634 NA NA NA 2097350 2097280 2097430 NA NA NA 4837 1114 2697 NA NA NA 2584 709 2459 NA NA NA
1546639200.0 11224.0 NA 740 844 0 NA NA NA 2097390 2097470 0 NA NA NA 10992 7729 10312 NA NA NA 8522 7813 10672 NA NA
1546639200.0 11224.6 NA 725 846 0 NA NA NA 2097390 2097470 0 NA NA NA 9265 7576 8263 NA NA NA 8856 10632 10426 NA NA
1546639200.0 113.0 266 316 350 NA NA NA 2097360 2097280 2097430 NA NA NA 5508 1262 4751 NA NA NA 2606 1004 9225 NA NA NA
1546639200.0 114.0 268 301 633 NA NA NA 2097360 2097280 2097430 NA NA NA 9890 1661 4437 NA NA NA 5600 1004 17264 NA NA NA
1546639200.0 115.0 264 304 623 NA NA NA 2097350 2097280 2097430 NA NA NA 9375 1730 4895 NA NA NA 9048 1014 5015 NA NA NA
1546639200.0 116.0 270 305 637 NA NA NA 2097360 2097280 2097440 NA NA NA 11686 1843 5053 NA NA NA 4095 1069 17445 NA NA NA
1546639200.0 11623.0 264 472 770 0 233 NA 2097260 2097320 2097460 0 2097270 NA 3618 2643 3649 3432 690 NA 1922 1949 3527 3596 650 NA
1546639200.0 11624.0 272 NA NA NA NA NA 2097270 NA NA NA NA NA 8986 NA NA NA NA NA 4000 NA NA NA NA NA
1546639200.0 11625.0 286 415 786 0 238 NA 2097270 2097330 2097460 0 2097260 NA 4450 3604 3862 3369 496 NA 1898 2878 4071 3479 591 NA
1546639200.0 11626.0 286 485 866 0 239 NA 2097270 2097330 2097470 0 2097260 NA 10340 2658 5423 3157 669 NA 3973 2911 3393 3242 613 NA
1546639200.0 11642.0 264 NA NA NA NA NA 2097260 NA NA NA NA NA 3208 NA NA NA NA NA 1773 NA NA NA NA NA
1546639200.0 117.0 271 308 649 NA NA NA 2097360 2097280 2097430 NA NA NA 6254 1157 3084 NA NA NA 3118 744 2518 NA NA NA
1546639200.0 118.0 266 311 649 NA NA NA 2097360 2097280 2097440 NA NA NA 6963 1380 3850 NA NA NA 3064 1125 3192 NA NA NA
1546639200.0 119.0 266 314 643 NA NA NA 2097350 2097280 2097430 NA NA NA 5176 1124 2753 NA NA NA 2622 785 2484 NA NA NA
1546639200.0 12.0 NA 342 708 0 NA NA NA 2097310 2097470 0 NA NA NA 6211 12065 1396 NA NA NA 2263 6470 1488 NA NA
1546639200.0 120.0 252 298 602 NA NA NA 2097290 2097280 2097430 NA NA NA 3238 1662 3113 NA NA NA 1553 1054 3069 NA NA NA
1546639200.0 12024.0 278 497 838 0 NA NA 2097270 2097330 2097460 0 NA NA 6155 3815 4111 3133 NA NA 2542 2366 3098 3215 NA NA
1546639200.0 121.0 274 312 634 NA NA NA 2097360 2097280 2097440 NA NA NA 6629 1167 3801 NA NA NA 2825 741 3514 NA NA NA
1546639200.0 122.0 223 0 0 NA NA NA 2097260 0 0 NA NA NA 2096 561 2547 NA NA NA 1531 469 2812 NA NA NA
1546639200.0 123.1 589 NA NA NA NA NA 2097460 NA NA NA NA NA 3883 NA NA NA NA NA 2537 NA NA NA NA NA
1546639200.0 123.2 622 NA NA NA NA NA 2097450 NA NA NA NA NA 4174 NA NA NA NA NA 2437 NA NA NA NA NA
1546639200.0 123.3 544 NA NA NA NA NA 2097410 NA NA NA NA NA 4211 NA NA NA NA NA 2751 NA NA NA NA NA
1546639200.0 124.1 576 NA NA NA NA NA 2097410 NA NA NA NA NA 3075 NA NA NA NA NA 2002 NA NA NA NA NA
1546639200.0 124.2 591 NA NA NA NA NA 2097460 NA NA NA NA NA 3292 NA NA NA NA NA 1952 NA NA NA NA NA
1546639200.0 124.4 578 NA NA NA NA NA 2097410 NA NA NA NA NA 4324 NA NA NA NA NA 2688 NA NA NA NA NA
1546639200.0 124.5 576 NA NA NA NA NA 2097420 NA NA NA NA NA 5408 NA NA NA NA NA 3046 NA NA NA NA NA
1546639200.0 124.6 514 NA NA NA NA NA 2097410 NA NA NA NA NA 4077 NA NA NA NA NA 2866 NA NA NA NA NA
1546639200.0 125.0 275 304 629 NA NA NA 2097360 2097280 2097430 NA NA NA 7601 1972 3360 NA NA NA 3054 1590 3141 NA NA NA
1546639200.0 126.0 253 293 617 NA NA NA 2097290 2097280 2097440 NA NA NA 5264 1556 3534 NA NA NA 2812 1243 3834 NA NA NA
1546639200.0 127.0 253 309 630 NA NA NA 2097280 2097280 2097430 NA NA NA 3905 1424 3139 NA NA NA 1790 922 3067 NA NA NA
1546639200.0 128.0 247 301 601 NA NA NA 2097280 2097280 2097430 NA NA NA 8974 1699 3708 NA NA NA 10807 1060 19512 NA NA NA
1546639200.0 129.0 248 298 606 NA NA NA 2097280 2097280 2097430 NA NA NA 2826 1536 2767 NA NA NA 1372 1275 2789 NA NA NA
1546639200.0 13.0 NA 320 654 0 NA NA NA 2097290 2097440 0 NA NA NA 1595 9873 1383 NA NA NA 1147 5428 1443 NA NA
1546639200.0 130.0 253 299 618 NA NA NA 2097280 2097280 2097440 NA NA NA 3345 1808 3284 NA NA NA 1510 3731 3166 NA NA NA
1546639200.0 1301.0 275 342 504 NA NA NA 2097300 2097290 2097380 NA NA NA 3752 1481 2186 NA NA NA 1930 1087 2456 NA NA NA
1546639200.0 1301.17 270 383 570 NA NA NA 2097280 2097320 2097390 NA NA NA 4942 2663 2188 NA NA NA 2245 1415 2176 NA NA NA
1546639200.0 1302.0 283 342 558 NA NA NA 2097300 2097300 2097380 NA NA NA 9405 1781 3017 NA NA NA 3256 1109 2354 NA NA NA
1546639200.0 1302.17 279 387 601 NA NA NA 2097280 2097320 2097390 NA NA NA 11766 3435 3881 NA NA NA 3881 1622 2900 NA NA NA
1546639200.0 1303.0 284 362 567 NA NA NA 2097300 2097300 2097370 NA NA NA 12925 1354 5366 NA NA NA 5072 1187 3800 NA NA NA
1546639200.0 1303.17 287 378 603 NA NA NA 2097290 2097320 2097390 NA NA NA 13409 2584 5150 NA NA NA 5237 1464 3355 NA NA NA
1546639200.0 1306.0 NA 354 692 0 NA NA NA 2097300 2097440 0 NA NA NA 1902 3727 1581 NA NA NA 2422 4800 1674 NA NA
1546639200.0 1307.0 NA 335 458 159 0 NA NA 2097290 2097340 2097250 0 NA NA 2185 2058 313 658 NA NA 1740 1529 362 735 NA
1546639200.0 1308.0 NA 338 437 159 0 NA NA 2097290 2097340 2097250 0 NA NA 1832 1572 321 633 NA NA 1648 1538 420 704 NA
1546639200.0 1309.0 NA 372 674 0 NA NA NA 2097300 2097450 0 NA NA NA 1986 6399 1579 NA NA NA 1266 5227 1669 NA NA
1546639200.0 131.0 253 300 619 NA NA NA 2097280 2097280 2097430 NA NA NA 4183 1580 3670 NA NA NA 2286 1242 4110 NA NA NA
1546639200.0 1310.0 NA 361 708 0 NA NA NA 2097300 2097450 0 NA NA NA 1373 3931 1330 NA NA NA 1924 5503 1411 NA NA
1546639200.0 1311.0 NA 352 648 0 224 NA NA 2097300 2097420 0 2097260 NA NA 1589 3614 2087 586 NA NA 937 3471 2172 649 NA
1546639200.0 1312.0 NA 368 714 0 NA NA NA 2097300 2097450 0 NA NA NA 1751 5301 1512 NA NA NA 1542 5311 1605 NA NA
1546639200.0 1313.0 NA 376 707 0 NA NA NA 2097300 2097450 0 NA NA NA 1347 6402 1313 NA NA NA 1120 4828 1385 NA NA
1546639200.0 1314.0 NA 372 711 0 NA NA NA 2097300 2097450 0 NA NA NA 1441 4061 1304 NA NA NA 1076 3834 1357 NA NA
1546639200.0 1315.0 NA 353 715 0 NA NA NA 2097300 2097450 0 NA NA NA 1315 2955 1243 NA NA NA 955 2993 1298 NA NA
1546639200.0 1316.0 NA 351 548 0 NA NA NA 2097300 2097450 0 NA NA NA 1858 6511 1571 NA NA NA 1867 8038 1674 NA NA
1546639200.0 1317.0 NA 358 731 0 NA NA NA 2097300 2097440 0 NA NA NA 1825 3524 1505 NA NA NA 1618 3252 1606 NA NA
1546639200.0 1318.0 NA 355 724 0 NA NA NA 2097300 2097450 0 NA NA NA 1206 2928 1269 NA NA NA 944 2943 1344 NA NA
